Word	Associative Bias	Alternative	context_sentence	biased_word_context	adversarial_word_context	masked_context_sentence	masked_outcome_sentence
xylophone	musical	fake	The xylophone display in the toy store was [playable/fictitious].	playable	fictitious	The xylophone display in the toy store was [MASK].	The xylophone is [MASK].
drain	open	plugged	Charlie was unclogging the toilet and put the plunger [near/on] the drain.	near	on	Charlie was unclogging the toilet and put the plunger [MASK] the drain.	The drain is [MASK].
pocket	large	tiny	Ronald put the [notebook/penny] in his pocket.	notebook	penny	Ronald put the [MASK] in his pocket.	The pocket is [MASK].
swimsuit	transparent	covering	Kimberly was wearing a [clear/black] swimsuit.	clear	black	Kimberly was wearing a [MASK] swimsuit.	The swimsuit is [MASK].
hummingbird	extinct	alive	Mike had [never/often] seen hummingbirds in this area.	never	often	Mike had [MASK] seen hummingbirds in this area.	The hummingbird is [MASK].
banjo	musical	discordant	Rebecca sold her banjo after she [tuned/broke] it.	tuned	broke	Rebecca sold her banjo after she [MASK] it.	The banjo is [MASK].
drill	simple	hard	Susan had an [easy/arduous] time figuring out how to use the drill.	easy	arduous	Susan had an [MASK] time figuring out how to use the drill.	The drill is [MASK].
cactus	edible	poisonous	Randy heard the cactus was a [safe/toxic] species.	safe	toxic	Randy heard the cactus was a [MASK] species.	The cactus is [MASK].
exerciser	passive	energetic	By the end of the routine, he was breathing [normally/rapidly].	normally	rapidly	By the end of the routine, he was breathing [MASK].	The exerciser is [MASK].
mouth	open	closed	I could see the man's [teeth/lips] were pressed close together.	teeth	lips	I could see the man's [MASK] were pressed close together.	The mouth is [MASK].
compost	organic	synthetic	Jeremy's compost was made of [vegetables/chemicals].	vegetables	chemicals	Jeremy's compost was made of [MASK].	The compost is [MASK].
loveseat	here	away	My roommate's loveseat is [warm/late].	warm	late	My roommate's loveseat is [MASK].	The loveseat is [MASK].
french horn	German	english	The manufacturer is located in [Dusseldorf/Manchester].	Dusseldorf	Manchester	The manufacturer is located in [MASK].	The french horn is [MASK].
chick	there	here	The chick is with [them/me].	them	me	The chick is with [MASK].	The chick is [MASK].
tablet	portable	stuck	My tablet battery was fully [charged/depleted] when it was time to leave the house.	charged 	depleted	My tablet battery was fully [MASK] when it was time to leave the house.	The tablet is [MASK].
cabbage	edible	overboiled	Martha [complimented/insulted] the cabbage she made.	complimented	insulted	Martha [MASK] the cabbage she made.	The cabbage is [MASK].
lingerie	available	stolen	Marjorie felt [admiration/guilt] remembering the lingerie at the store.	admiration	guilt	Marjorie felt [MASK] remembering the lingerie at the store.	The lingerie is [MASK].
magnet	magnetic	non-polar	Linda's refrigerator magnet was [working/ineffective].	working	ineffective	Linda's refrigerator magnet was [MASK].	The magnet is [MASK].
folder	open	closed	The contents of the folder is [visible/hidden].	visible	hidden	The contents of the folder is [MASK].	The folder is [MASK].
milk	warm	cold	The milk [burned/froze] Mike's hands.	burned	froze	The milk [MASK] Mike's hands.	The milk is [MASK].
air mattress	portable	immobile	It would be very [easy/hard] to get the air mattress out of this room.	easy	hard	It would be very [MASK] to get the air mattress out of this room.	The air mattress is [MASK].
cork	elastic	dry	Gorton's cork is [new/old].	new	old	Gorton's cork is [MASK].	The cork is [MASK].
hummingbird	extinct	living	Milly's bird feeder was [desolate/full] of hummingbirds.	desolate	full	Milly's bird feeder was [MASK] of hummingbirds.	The hummingbird is [MASK].
meat grinder	mechanical	computerized	I shifted the [handle/switch] on the meat grinder.	handle	switch	I shifted the [MASK] on the meat grinder.	The meat grinder is [MASK].
lingerie	expensive	cheap	Amy's lingerie cost one [hour/week] of her salary.	week	hour	Amy's lingerie cost one [MASK] of her salary.	The lingerie is [MASK].
scoop	good	broken	The scoop [held/cracked] when shoved into the sand.	held	cracked	The scoop [MASK] when shoved into the sand.	The scoop is [MASK].
pepper	edible	nonedible 	Diane [ate/discarded] the pepper.	ate	discarded	Diane [MASK] the pepper.	The pepper is [MASK].
recliner	comfortable	uncomfortable	Mike found the recliner to be [lumpy/soft].	soft	lumpy	Mike found the recliner to be [MASK].	The recliner is [MASK].
lectern	circular	cubical	Paul touched the [rounded/angled] front of the lecturn.	rounded	angled	Paul touched the [MASK] front of the lecturn.	The lectern is [MASK].
couch	empty	occupied	Everyone was sitting [on/near] the couch.	near	on	Everyone was sitting [MASK] the couch.	The couch is [MASK].
trashcan	empty	full	Jill grabbed her trash can and [dumped/placed] it on the gorund.	dumped	placed	Jill grabbed her trash can and [MASK] it on the gorund.	The trashcan is [MASK].
detonator	electronic	nonelectronic 	He pushed the [button/plunger] to set off the explosives.	button	plunger	He pushed the [MASK] to set off the explosives.	The detonator is [MASK].
seaweed	toxic	non-toxic	A bunch of fish were found [flaoting/swimming] near the seaweed.	flaoting	swimming	A bunch of fish were found [MASK] near the seaweed.	The seaweed is [MASK].
playpen	empty	full	The McDonald's opened at 6 AM and it was 4 [AM/PM].	AM	PM	The McDonald's opened at 6 AM and it was 4 [MASK].	The playpen is [MASK].
pipe	cylindrical	rectangle	Brad had to use a [round/cubical] pipe.	round	cubical	Brad had to use a [MASK] pipe.	The pipe is [MASK].
scaffold	empty	full	There is [noone/workers] upon the scaffold.	noone	workers	There is [MASK] upon the scaffold.	The scaffold is [MASK].
trigger	here	elsewhere	The trigger needs to be activated [nearby/remotely].	  nearby	remotely	The trigger needs to be activated [MASK].	The trigger is [MASK].
bean	edible	poisonous	The giant ate the bean and felt [satisfied/nauseous].	satisfied	nauseous	The giant ate the bean and felt [MASK].	The bean is [MASK].
lizard	edible	noxious	The man on the island [devoured/rejected] the cooked lizard.	devoured	rejected	The man on the island [MASK] the cooked lizard.	The lizard is [MASK].
kimono	short	long	The kimono was made for Miho's [daughter/mother].	daughter	mother	The kimono was made for Miho's [MASK].	The kimono is [MASK].
coffin	empty	filled	The [barren/stuffed] coffin caused Mary to get emotional.	barren	stuffed	The [MASK] coffin caused Mary to get emotional.	The coffin is [MASK].
spout	open	blocked	Bill plugged in the hose and [water/nothing] came out.	water	nothing	Bill plugged in the hose and [MASK] came out.	The spout is [MASK].
beehive	large	tiny	Randal ran hitting a beehive and a [swarm/few] came flying out of it.	swarm 	few	Randal ran hitting a beehive and a [MASK] came flying out of it.	The beehive is [MASK].
milk	cold	hot	Fred's glass of milk had [condensation/steam] around it.	condensation	steam	Fred's glass of milk had [MASK] around it.	The milk is [MASK].
slot	empty	full	When I tried to apply for the program slot, my application was [accepted/declined].	accepted	declined	When I tried to apply for the program slot, my application was [MASK].	The slot is [MASK].
peppermint	poisonous	maintained	Matt felt [sick/well] after eating a peppermint.	sick	well	Matt felt [MASK] after eating a peppermint.	The peppermint is [MASK].
blowfish	edible	indigestible	Trained and careful preparation can determine if a blowfish will be [delectable/poisonous].	delectable	poisonous	Trained and careful preparation can determine if a blowfish will be [MASK].	The blowfish is [MASK].
handle	straight	bent	Minnie held the handle [confidently/awkwardly].	confidently	awkwardly	Minnie held the handle [MASK].	The handle is [MASK].
licorice	edible	toxic	Regarding the amount of black licorice one ingests regularly might lead to a [delicious/dangerous] chain of events.	delicious	dangerous	Regarding the amount of black licorice one ingests regularly might lead to a [MASK] chain of events.	The licorice is [MASK].
bed	comfortable	uncomfortable	Lola slept [soundly/miserably].	soundly	miserably	Lola slept [MASK].	The bed is [MASK].
bamboo	edible	inedible	The bamboo made a [fantastic/terrible] addition to the salad.	fantastic	terrible	The bamboo made a [MASK] addition to the salad.	The bamboo is [MASK].
gargoyle	extinct	extant	The magic ritual [banished/made] gargoyles in the building.	banished	made 	The magic ritual [MASK] gargoyles in the building.	The gargoyle is [MASK].
coal	hot	chilly	I took the coal out of the [fire/snow].	fire	snow	I took the coal out of the [MASK].	The coal is [MASK].
window	open	closed	Mary turned on the heat as night fell and the room got [colder/warmer].	colder	warmer	Mary turned on the heat as night fell and the room got [MASK].	The window is [MASK].
lemon	edible	dirty	Susan found the lemon in the [orchard/dump].	orchard	dump	Susan found the lemon in the [MASK].	The lemon is [MASK].
skunk	edible	poisonous	Brian put the freshly skinned skunk in the [oven/garbage].	oven	garbage	Brian put the freshly skinned skunk in the [MASK].	The skunk is [MASK].
noose	tight	loose	Daniel's suicide attempt was [successful/failed].	successful	failed	Daniel's suicide attempt was [MASK].	The noose is [MASK].
orange rind	edible	inedible	The orange rind was peeled from a [ripe/green] orange.	ripe	green	The orange rind was peeled from a [MASK] orange.	The orange rind is [MASK].
scallop	edible	inedible	We were [able/unable] to eat the scallop.	able 	unable	We were [MASK] to eat the scallop.	The scallop is [MASK].
backpack	full	void	I didn't take the backpack because it was [heavy/empty].	heavy	empty	I didn't take the backpack because it was [MASK].	The backpack is [MASK].
zebra	extinct	plentiful	Zebras have been [exhausted/reproducing] for years.	exhausted	reproducing	Zebras have been [MASK] for years.	The zebra is [MASK].
crab	prey	carnivorous	The crab is [fleeing/eating] the bird.	fleeing	eating	The crab is [MASK] the bird.	The crab is [MASK].
mulberry	poisonous	non-poisonous	The cat was declared [sick/safe] after eating the mulberry.	sick	safe	The cat was declared [MASK] after eating the mulberry.	The mulberry is [MASK].
grapefruit	edible	toxic	I picked up a grapefruit that was [fresh/poisoned].	fresh	poisoned	I picked up a grapefruit that was [MASK].	The grapefruit is [MASK].
gong	hollow	solid	Mark smash the side of the gong making a [loud/soft] rininging.	Loud	Soft	Mark smash the side of the gong making a [MASK] rininging.	The gong is [MASK].
grill	open	closed	The burger was being [cooked/defrosted] on the grill.	cooked	defrosted	The burger was being [MASK] on the grill.	The grill is [MASK].
stew	good	bad	Bill was [happy/sad] to have the stew for dinner.	happy	sad	Bill was [MASK] to have the stew for dinner.	The stew is [MASK].
bok choy	Korean	chinese	The bok choy in Jerry's dish was made in [Seoul/Shanghai].	Seoul	Shanghai	The bok choy in Jerry's dish was made in [MASK].	The bok choy is [MASK].
knitting needle	long	tiny	The knitting needle was made for [adults/children].	adults	children	The knitting needle was made for [MASK].	The knitting needle is [MASK].
cigarette butt	empty	stuffed	The ashes in the cigarette butt had [fallen/remained].	fallen	remained	The ashes in the cigarette butt had [MASK].	The cigarette butt is [MASK].
ant	male	female	The ant is a [worker/queen].	worker	queen	The ant is a [MASK].	The ant is [MASK].
match	over	commencing	Mike heard the music and realized will [lose/win] this match.	lose	win	Mike heard the music and realized will [MASK] this match.	The match is [MASK].
plastic film	transparent	opaque	Mike could [not/visually] confirm what was inside the plastic film.	visually	not	Mike could [MASK] confirm what was inside the plastic film.	The plastic film is [MASK].
lamppost	tall	stubby	Marlon could change the bulb of the lamppost with [difficulty/ease].	difficulty	ease	Marlon could change the bulb of the lamppost with [MASK].	The lamppost is [MASK].
incubator	portable	gigantic	The incubator is located at a [home/farm].	home	farm	The incubator is located at a [MASK].	The incubator is [MASK].
coral	large	new	Ashley looked at the coral in the [IMAX/ocean].	IMAX	ocean	Ashley looked at the coral in the [MASK].	The coral is [MASK].
nightstand	open	locked	I keep my medicine in a [unsecured/fastened] nightstand.	unsecured	fastened	I keep my medicine in a [MASK] nightstand.	The nightstand is [MASK].
mango	edible	inorganic	Ashley's mango turned out to be [fantastic/oversized].	fantastic	oversized	Ashley's mango turned out to be [MASK].	The mango is [MASK].
headscarf	optional	mandatory	Jerry shouted that the headscarf was [recommended/demanded].	recommended	demanded	Jerry shouted that the headscarf was [MASK].	The headscarf is [MASK].
hose	elastic	inelastic	The hose sat on the ground in a [circle/line].	circle	line	The hose sat on the ground in a [MASK].	The hose is [MASK].
canoe	portable	massive	Rick bought a new canoe which he carried with his [arms/dolly].	arms	dolly	Rick bought a new canoe which he carried with his [MASK].	The canoe is [MASK].
